都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,住所,方書,緯度,経度,設置位置,電話番号,内線番号,利用可能日時特記事項,小児対応設備の有無,URL,備考
032069,0000000128,岩手県,北上市,ちとせ医院,チトセイイン,北上市大通り二丁目１番22号,,39.281925,141.116577,１階診察室,0197-63-3780,,施設就業時間等に準ずる,,,
032069,0000000129,岩手県,北上市,大通り歯科医院,オオドオリシカイイン,北上市大通り二丁目１番１号,,39.281654,141.118271,１階診察室,0197-64-5060,,施設就業時間等に準ずる,,,
032069,0000000130,岩手県,北上市,北上市立大通り保育園,キタカミシリツオオドオリホイクエン,北上市九年橋三丁目12番13号,,39.281502,141.109604,１階事務室,0197-63-3038,,施設就業時間等に準ずる,,,
032069,0000000131,岩手県,北上市,おだしま歯科クリニック,オダシマシカクリニック,北上市九年橋三丁目18番15号サンファミリー三田１階,,39.284302,141.10701,１階院長室,0197-61-2111,,施設就業時間等に準ずる,,,
032069,0000000132,岩手県,北上市,おやま歯科矯正クリニック,オヤマシカキョウセイクリニック,北上市大通り二丁目３番１号,,39.282345,141.118408,１階診療室,0197-65-1182,,施設就業時間等に準ずる,,,
032069,0000000133,岩手県,北上市,JR北上駅,ジェイアールキタカミエキ,北上市大通り一丁目１番２号,,39.280136,141.120651,"１階西口改札口側
１階東口改札口側",0197-64-5963,,施設就業時間等に準ずる,,,
032069,0000000134,岩手県,北上市,草のホテル,クサノホテル,北上市大通り二丁目９番８号,,39.282528,141.116241,１階エレベーター前,0197-65-1712,,施設就業時間等に準ずる,,,
032069,0000000135,岩手県,北上市,グリーンホテル北上,グリーンホテルキタカミ,北上市大通り一丁目11番３号,,39.282757,141.119598,１階フロント,0197-65-5500,,施設就業時間等に準ずる,,,
032069,0000000136,岩手県,北上市,タロ北上大通り,タロキタカミオオドオリ,北上市大通り四丁目１番10号,,39.285202,141.108719,１階エレベーター前ホール,0197-72-5900,,施設就業時間等に準ずる,,,
032069,0000000137,岩手県,北上市,サイトウデンタルクリニック,サイトウデンタルクリニック,北上市大通り二丁目６番18号,,39.284142,141.11644,１階技工室,0197-63-3011,,施設就業時間等に準ずる,,,
032069,0000000138,岩手県,北上市,千田工業株式会社,チダコウギョウカブシキガイシャ,北上市九年橋一丁目10番29号,,39.279606,141.113251,１階車庫,0197-63-3207,,施設就業時間等に準ずる,,,
032069,0000000139,岩手県,北上市,東芝電機サービス(株)岩手営業所,トウシバデンキサービスカブシキガイシャイワテエイギョウショ,北上市大通り四丁目６番11号入山西ビル２階,,39.287094,141.106049,２階事務室,0197-61-0523,,施設就業時間等に準ずる,,,
032069,0000000140,岩手県,北上市,東日本バンドー(株)北上営業所,ヒガシニホンバンドーカブシキガイシャキタカミエイギョウショ,北上市大通り四丁目１番３号,,39.285297,141.109375,１階事務室,0197-64-7277,,施設就業時間等に準ずる,,,
032069,0000000141,岩手県,北上市,古山歯科医院,フルヤマシカイイン,北上市九年橋三丁目７番22号,,39.282486,141.111252,１階診療室,0197-65-6011,,施設就業時間等に準ずる,,,
032069,0000000142,岩手県,北上市,ホテルメッツ北上,ホテルメッツキタカミ,北上市大通り一丁目１番34号,,39.281906,141.121185,１階フロント　,0197-62-2222,,施設就業時間等に準ずる,,,
032069,0000000143,岩手県,北上市,大東建託　北上支店,ダイトウケンタク　キタカミシテン,北上市大通り三丁目2番5号,,39.283672,141.114227,２階事務所,0197-64-2990,,施設就業時間等に準ずる,,,
032069,0000000144,岩手県,北上市,全労済　岩手県本部北上支所,ゼンロウサイ　イワテケンホンブキタカミシショ,北上市大通り二丁目11番23号,,39.283314,141.114929,１階入口付近,0197-65-0160,,施設就業時間等に準ずる,,,
032069,0000000145,岩手県,北上市,日本住宅㈱北上支店,ニホンジュウタクカブシキガイシャキタカミシテン,北上市九年橋一丁目1番18号,,39.278873,141.115311,１階出入口,0197-65-0511,,施設就業時間等に準ずる,,,
032069,0000000146,岩手県,北上市,北上市生涯学習センター,キタカミシショウガイガクシュウセンター,北上市大通り一丁目3番1号,,39.281757,141.120316,３階受付カウンター,0197-72-8303,,施設就業時間等に準ずる,,,
032069,0000000147,岩手県,北上市,あかさか歯科クリニック,アカサカシカクリニック,北上市花園町二丁目５番15号,,39.289661,141.118713,１階診療室,0197-63-3461,,施設就業時間等に準ずる,,,
032069,0000000148,岩手県,北上市,アパホテル北上駅西,アパホテルキタカミエキニシ,北上市花園町二丁目１番３号,,39.287708,141.118881,１階ロビー,0197-61-0111,,施設就業時間等に準ずる,,,
032069,0000000149,岩手県,北上市,社団法人北上医師会,シャダンホウジンキタカミイシカイ,北上市花園町一丁目７番４号,,39.287712,141.12265,１階事務所,0197-63-4518,,施設就業時間等に準ずる,,,
032069,0000000150,岩手県,北上市,北上済生会病院,キタカミサイセイカイビョウイン,九年橋三丁目15番33号,,39.284748,141.107559,各階フロア,0197-64-7722,,施設就業時間等に準ずる,,,
032069,0000000151,岩手県,北上市,北上歯科医院,キタカミシカイイン,北上市花園町一丁目６番29号,,39.289433,141.120529,１階待合室,0197-63-4010,,施設就業時間等に準ずる,,,
032069,0000000152,岩手県,北上市,北上商工会館,キタカミショウコウカイカン,北上市青柳町二丁目１番８号,,39.283779,141.118042,１階ロビー,0197-65-4211,,施設就業時間等に準ずる,,,
032069,0000000153,岩手県,北上市,グループホームつどい,グループホームツドイ,北上市諏訪町一丁目３番17号,,39.287071,141.118912,１階事務室,0197-72-7442,,施設就業時間等に準ずる,,,
032069,0000000154,岩手県,北上市,斎藤産婦人科医院,サイトウサンフジンカイイン,北上市諏訪町二丁目６番37号,,39.287556,141.119049,２階分娩室,0197-64-2136,,施設就業時間等に準ずる,,,
032069,0000000155,岩手県,北上市,㈱スパッと北上　ｉｋｏｔｔｏ店,カブシキガイシャスパットキタカミ　イコットテン,北上市諏訪町二丁目５番14号,,39.287182,141.117065,１階店内,0197-72-5807,,施設就業時間等に準ずる,,,
032069,0000000156,岩手県,北上市,双葉幼稚園,フタバヨウチエン,北上市花園町二丁目５番50号,,39.289127,141.120209,１階職員室内,0197-65-2800,,施設就業時間等に準ずる,,,
032069,0000000157,岩手県,北上市,ホテル　ルートイン北上駅前,ホテル　ルートインキタカミエキマエ,北上市青柳町一丁目２番12号,,39.283737,141.120697,１階フロント,0197-61-0711,,施設就業時間等に準ずる,,,
032069,0000000158,岩手県,北上市,松浦歯科医院,マツウラシカイイン,北上市青柳町二丁目６番21号,,39.285069,141.115463,１階受付,0197-72-5537,,施設就業時間等に準ずる,,,
032069,0000000159,岩手県,北上市,リハビリデイサービスnagomi,リハビリデイサービスナゴミ,北上市諏訪町二丁目４番５号,,39.286404,141.11795,１階機能訓練室,0197-62-6021,,施設就業時間等に準ずる,,,
032069,0000000160,岩手県,北上市,あさひ薬局北上店,アサヒヤッキョクキタカミテン,北上市花園町一丁目7番8号,,39.288025,141.122543,１階店内,0197-61-2838,,施設就業時間等に準ずる,,,
032069,0000000161,岩手県,北上市,及川歯科医院,オイカワシカイイン,北上市川岸四丁目11番22号,,39.286034,141.128815,１階受付,0197-65-3334,,施設就業時間等に準ずる,,,
032069,0000000162,岩手県,北上市,コンフォートホテル北上,コンフォートホテルキタカミ,北上市川岸一丁目２番１号,,39.28157,141.123184,１階ロビーフロント,0197-62-0711,,施設就業時間等に準ずる,,,
032069,0000000163,岩手県,北上市,さくらデンタルクリニック,サクラデンタルクリニック,北上市川岸二丁目10番25号,,39.286163,141.125626,１階受付,0197-62-1110,,施設就業時間等に準ずる,,,
032069,0000000164,岩手県,北上市,株式会社東北佐竹製作所,カブシキガイシャトウホクサタケセイサクショ,北上市川岸一丁目16番１号,,39.276997,141.121826,１階第三棟表事務所,0197-64-1111,,施設就業時間等に準ずる,,,
032069,0000000165,岩手県,北上市,東横イン北上駅新幹線口,トウヨコインキタカミエキシンカンセングチ,北上市川岸一丁目３番４号,,39.282406,141.123154,１階ロビー,0197-62-1045,,施設就業時間等に準ずる,,,
032069,0000000166,岩手県,北上市,マルハン北上店,マルハンキタカミテン,北上市川岸一丁目15番20号,,39.278717,141.12265,１階カウンター,0197-61-3222,,施設就業時間等に準ずる,,,
032069,0000000167,岩手県,北上市,ホテルシティプラザ北上,ホテルシティプラザキタカミ,北上市川岸一丁目14番１号,,39.278744,141.123749,２階フロント,0197-64-0001,,施設就業時間等に準ずる,,,
032069,0000000168,岩手県,北上市,小川医院中野町クリニック,オガワイインナカノチョウクリニック,北上市中野町一丁目９番28号,,39.290367,141.123505,１階診察室,0197-63-2939,,施設就業時間等に準ずる,,,
032069,0000000169,岩手県,北上市,黒沢尻東小学校,クロサワジリヒガシショウガッコウ,北上市中野町一丁目８番１号,,39.289486,141.126144,"階体育館入口
２階職員室",0197-63-2194,,施設就業時間等に準ずる,,,
032069,0000000170,岩手県,北上市,マックスバリュ北上店,マックスバリュキタカミテン,北上市里分４地割77番地,,39.294781,141.135483,１階西側入口,0197-65-7770,,施設就業時間等に準ずる,,,
032069,0000000171,岩手県,北上市,和賀歯科医院,ワガシカイイン,北上市中野町三丁目２番４号,,39.294773,141.128418,１階診療室,0197-65-3000,,施設就業時間等に準ずる,,,
032069,0000000172,岩手県,北上市,北上中学校,キタカミチュウガッコウ,北上市黒沢尻一丁目1番１号,,39.286934,141.130615,"１階来賓用玄関
１階体育館入口",0197-63-3129,,施設就業時間等に準ずる,,,
032069,0000000173,岩手県,北上市,TDK秋田第二上野寮,ティーディーケーアキタダイニウエノリョウ,北上市里分２地割169番地1,,39.29847,141.1315,１階ホール,0197-72-5903,,施設就業時間等に準ずる,,,
032069,0000000174,岩手県,北上市,黒沢尻東地区交流センター,クロサワジリヒガシチクコウリュウセンター,北上市中野町一丁目5番46号,,39.28759,141.12529,１階玄関入口,0197-64-7932,,施設就業時間等に準ずる,,,
032069,0000000175,岩手県,北上市,住宅型有料老人ホーム　なごみ,ジュウタクガタユウリョウロウジンホーム　ナゴミ,北上市黒沢尻四丁目8番20号,,39.296883,141.137192,１階廊下,0197-61-5100,,施設就業時間等に準ずる,,,
032069,0000000176,岩手県,北上市,特別養護老人ホーム　えびす,トクベツヨウゴロウジンホーム　エビス,北上市小鳥崎2地割165番地,,39.300533,141.145706,"１階玄関
２階医務室",0197-62-3456,,施設就業時間等に準ずる,,,
032069,0000000177,岩手県,北上市,上野中学校,ウエノチュウガッコウ,北上市上野町四丁目10番8号,,39.302731,141.125793,"１階保健室前廊下
１階体育館入口",0197-64-5371,,施設就業時間等に準ずる,,,
032069,0000000178,岩手県,北上市,坂の上野田村太志クリニック,サカノウエノタムラタイシクリニック,北上市上野町四丁目２番15号,,39.300438,141.12851,１階処置室,0197-65-1111,,施設就業時間等に準ずる,,,
032069,0000000179,岩手県,北上市,菅原歯科医院,スガワラシカイイン,北上市上野町二丁目12番14号,,39.300426,141.125168,１階受付,0197-64-3455,,施設就業時間等に準ずる,,,
032069,0000000180,岩手県,北上市,たんご歯科クリニック,タンゴシカクリニック,北上市上野町四丁目12番27号,,39.30344,141.126984,１階処置室入口,0197-64-4415,,施設就業時間等に準ずる,,,
032069,0000000181,岩手県,北上市,やご内科・循環器クリニック,ヤゴナイカ・ジュンカンキクリニック,北上市上野町五丁目５番,,39.301018,141.130005,１階受付,0197-72-7717,,施設就業時間等に準ずる,,,
032069,0000000182,岩手県,北上市,小規模多機能ホームうえのまち,ショウキボタキノウホームウエノマチ,北上市上野町一丁目7番1号,,39.29628,141.125854,１階集会所,0197-63-2267,,施設就業時間等に準ずる,,,
032069,0000000183,岩手県,北上市,稲瀬地区交流センター,イナセチクコウリュウセンター,北上市稲瀬町前田276,,39.245888,141.12468,１階事務室,0197-65-2441,,施設就業時間等に準ずる,,,
032069,0000000184,岩手県,北上市,及川脳神経内科クリニック,オイカワノウシンケイナイカクリニック,北上市立花10地割28番地1,,39.281872,141.132904,１階処置室内,0197-65-3811,,施設就業時間等に準ずる,,,
032069,0000000185,岩手県,北上市,(有)北上孝輝殿,ユウゲンガイシャキタカミコウキデン,北上市稲瀬町上台201地割1,,39.249184,141.124084,１階フロント,0197-64-2121,,施設就業時間等に準ずる,,,
032069,0000000186,岩手県,北上市,口内小学校,クチナイショウガッコウ,北上市口内町新町161番地,,39.293083,141.202637,１階体育館玄関,0197-69-2004,,施設就業時間等に準ずる,,,
032069,0000000187,岩手県,北上市,口内地区交流センター,クチナイチクコウリュウセンター,北上市口内町新町67番地,,39.293526,141.204987,１階玄関,0197-69-2001,,施設就業時間等に準ずる,,,
032069,0000000188,岩手県,北上市,口内保育園,クチナイホイクエン,北上市口内町新町99番地1,,39.293526,141.204987,１階事務室,0197-69-2015,,施設就業時間等に準ずる,,,
032069,0000000189,岩手県,北上市,黒岩小学校,クロイワショウガッコウ,北上市黒岩7地割60番地,,39.31292,141.161316,１階体育館玄関,0197-63-4419,,施設就業時間等に準ずる,,,
032069,0000000190,岩手県,北上市,黒岩地区交流センター,クロイワチクコウリュウセンター,北上市黒岩19地割36番地２,,39.309193,141.155029,１階玄関内,0197-64-7525,,施設就業時間等に準ずる,,,
032069,0000000191,岩手県,北上市,ケアハウスエスカール,ケアハウスエスカール,北上市立花10地割38番地,,39.281872,141.132904,１階玄関,0197-61-2015,,施設就業時間等に準ずる,,,
032069,0000000192,岩手県,北上市,株式会社スパット北上,カブシキガイシャスパットキタカミ　,北上市稲瀬町上台648,,39.256058,141.125671,１階カウンター,0197-63-3576,,施設就業時間等に準ずる,,,
032069,0000000193,岩手県,北上市,立花小学校,タチバナショウガッコウ,北上市立花18地割157番地,,39.277855,141.144745,１階体育館入口,0197-63-3709,,施設就業時間等に準ずる,,,
032069,0000000194,岩手県,北上市,立花地区交流センター,タチバナチクコウリュウセンター,北上市立花20地割18番地2,,39.282421,141.142883,１階玄関入口,0197-65-1933,,施設就業時間等に準ずる,,,
032069,0000000195,岩手県,北上市,照岡小学校,テルオカショウガッコウ,北上市稲瀬町地蔵堂15,,39.237568,141.120712,１階体育館玄関,0197-63-2702,,施設就業時間等に準ずる,,,
032069,0000000196,岩手県,北上市,展勝地レストハウス,テンショウチレストハウス,北上市立花14地割21番地1,,39.269539,141.12587,１階入口（風除室内）,0197-64-2110,,施設就業時間等に準ずる,,,
032069,0000000197,岩手県,北上市,東陵中学校,トウリョウチュウガッコウ,北上市立花1地割8番地,,39.290058,141.146454,"１階職員玄関
１階体育館入口",0197-64-3969,,施設就業時間等に準ずる,,,
032069,0000000198,岩手県,北上市,特別養護老人ホーム浮牛の里,トクベツヨウゴロウジンホームフギュウノサト,北上市口内町久田25番地11,,39.28936,141.201385,１階受付,0197-71-4560,,施設就業時間等に準ずる,,,
032069,0000000199,岩手県,北上市,サービス付き高齢者住宅やちだもの家北上,サービスツキコウレイシャジュウタクヤチダモノイエキタカミ,北上市立花17地割1番地3,,39.280006,141.139999,１階Ｂ棟内,0197-61-5500,,施設就業時間等に準ずる,,,
032069,0000000200,岩手県,北上市,沢目公民館,サワメコウミンカン,北上市平沢13地割1番地1,,39.325722,141.173874,１階入口,,,施設就業時間等に準ずる,,,
032069,0000000201,岩手県,北上市,北上市立利根山光人記念美術館,キタカミシリツトネヤマコウジンキネンビジュツカン,北上市立花15地割153番地2,,39.273987,141.13298,１階受付カウンター,0197-65-1808,,施設就業時間等に準ずる,,,
032069,0000000202,岩手県,北上市,北上市みちのく民族村,キタカミシミチノクミンゾクムラ,北上市立花14地割62番地3,,39.268642,141.129089,１階体験厨房,0197-64-1756,,施設就業時間等に準ずる,,,
032069,0000000203,岩手県,北上市,北上市民展勝地プール,キタカミシミンテンショウチプール,北上市立花10地割96番地,,39.282768,141.131683,１階管理室,0197-72-8313,,施設就業時間等に準ずる,,,
032069,0000000204,岩手県,北上市,北上市立博物館,キタカミシリツハクブツカン,北上市立花14地割59番地,,39.271187,141.133392,１階事務室,0197-64-1756,,施設就業時間等に準ずる,,,
032069,0000000205,岩手県,北上市,北上市憩いの森,キタカミシイコイノモリ,北上市稲瀬町岩脇24番地,,39.262894,141.1259,１階管理事務所,0197-64-7447,,施設就業時間等に準ずる,,,
032069,0000000206,岩手県,北上市,おいかわ理容,オイカワリヨウ,北上市臥牛７地割42番地,,39.357605,141.170746,１階店内,0197-66-5835,,施設就業時間等に準ずる,,,
032069,0000000207,岩手県,北上市,北上北中学校,キタカミキタチュウガッコウ,北上市二子町秋子沢13番地,,39.327087,141.133987,"１階玄関付近廊下
１階体育館入口",0197-66-2518,,施設就業時間等に準ずる,,,
032069,0000000208,岩手県,北上市,更木小学校,サラキショウガッコウ,北上市更木12地割61番地,,39.343517,141.149063,"１階職員室
１階体育館",0197-66-2523,,施設就業時間等に準ずる,,,
032069,0000000209,岩手県,北上市,更木地区交流センター,サラキチクコウリュウセンター,北上市更木12地割151番地１,,39.343517,141.149063,１階玄関内,0197-66-2569,,施設就業時間等に準ずる,,,
032069,0000000210,岩手県,北上市,北上市立更木幼稚園,キタカミシリツサラキヨウチエン,北上市更木12地割61番地,,39.343517,141.149063,１階玄関,0197-66-2589,,施設就業時間等に準ずる,,,
032069,0000000211,岩手県,北上市,㈱積水化成品パッケージ北上工場,カブシキガイシャセキスイカセイヒンパッケージキタカミコウジョウ,北上市二子町南田213地割６番地,,39.316608,141.130173,１階事務室内,0197-71-3455,,施設就業時間等に準ずる,,,
032069,0000000212,岩手県,北上市,社会福祉法人自立更正会とばせ園,シャカイフクシホウジンジリツコウセイカイトバセエン,北上市二子町秋子沢214番地５,,39.328999,141.128937,１階玄関ホール,0197-66-5050,,施設就業時間等に準ずる,,,
032069,0000000213,岩手県,北上市,北上アビリティーセンター,キタカミアビリティーセンター,北上市二子町秋子沢214番地７,,39.328999,141.128937,１階玄関,0197-66-5400,,施設就業時間等に準ずる,,,
032069,0000000214,岩手県,北上市,特別養護老人ホーム　八天の里,トクベツヨウゴロウジンホーム　ハッテンノサト,北上市更木34地割320番地１,,39.329464,141.15802,１階玄関,0197-66-6000,,施設就業時間等に準ずる,,,
032069,0000000215,岩手県,北上市,花巻農業協同組合二子支店,ハナマキノウギョウキョウドウクミアイフタゴシテン,北上市二子町鳥喰211番地１,,39.320698,141.13942,１階職員玄関,0197-66-5051,,施設就業時間等に準ずる,,,
032069,0000000216,岩手県,北上市,二子小学校,フタゴショウガッコウ,北上市二子町鳥喰22番地２,,39.321884,141.136429,"１階昇降口
１階体育館入口",0197-66-2525,,施設就業時間等に準ずる,,,
032069,0000000217,岩手県,北上市,二子地区交流センター,フタゴチクコウリュウセンター,北上市二子町鳥喰前49番地４,,39.31918,141.138657,１階玄関,0197-66-2050,,施設就業時間等に準ずる,,,
032069,0000000218,岩手県,北上市,二子歯科医院,フタゴシカイイン,北上市二子町鳥喰201番地,,39.320625,141.140884,１階処置室,0197-66-3431,,施設就業時間等に準ずる,,,
032069,0000000219,岩手県,北上市,二子保育園,フタゴホイクエン,北上市二子町鳥喰前49番地６,,39.31918,141.138657,１階玄関,0197-66-2532,,施設就業時間等に準ずる,,,
032069,0000000220,岩手県,北上市,株式会社WING,カブシキガイシャウイング,北上市二子町秋子沢118番地８,,39.327087,141.133987,１階工場,0197-81-6056,,施設就業時間等に準ずる,,,
032069,0000000221,岩手県,北上市,ショートステイ北上,ショートステイキタカミ,北上市二子町宿西22番地１,,39.32753,141.139969,１階事務室,0197-72-8361,,施設就業時間等に準ずる,,,
032069,0000000222,岩手県,北上市,相去地区交流センター,アイサリチクコウリュウセンター,北上市相去町小糠沢19番地,,39.256844,141.11084,１階正面玄関内,0197-67-4355,,施設就業時間等に準ずる,,,
032069,0000000223,岩手県,北上市,(株)あらた北上センター,カブシキガイシャアラタキタカミセンター,北上市相去町山田２番地８,,39.256351,141.105255,１～３各階事務室,0197-75-0300,,施設就業時間等に準ずる,,,
032069,0000000224,岩手県,北上市,岩手建工株式会社北上支店,イワテケンコウカブシキガイシャキタカミシテン,北上市相去町中成沢１番地１,,39.260826,141.06488,２階事務所内,0197-81-5400,,施設就業時間等に準ずる,,,
032069,0000000225,岩手県,北上市,イーエヌ大塚製薬(株)北上工場,イーエヌオオツカセイヤクカブシキガイシャキタカミコウジョウ,北上市相去町山根梨の木43番地94,,39.245266,141.088608,１階～２階間階段踊り場,0197-71-2900,,施設就業時間等に準ずる,,,
032069,0000000226,岩手県,北上市,エレック北上,エレックキタカミ,北上市相去町平林21番地37,,39.251373,141.096161,1階玄関,0197-67-2341,,施設就業時間等に準ずる,,,
032069,0000000227,岩手県,北上市,(株)北上オフィスプラザ,カブシキガイシャキタカミオフィスプラザ,北上市相去町山田２番地18,,39.256351,141.105255,１階正面玄関ロビー,0197-71-2171,,施設就業時間等に準ずる,,,
032069,0000000228,岩手県,北上市,"北上総合体育館
北上陸上競技場
北上陸上補助競技場","キタカミソウゴウタイイクカン
キタカミリクジョウキョウギジョウ
キタカミリクジョウホジョキョウギジョウ",北上市相去町高前壇27番地36,,39.261871,141.085358,"１階事務室前（体育館）
１階管理室前（競技場）
１階倉庫内（補助競技場）",0197-67-6720,,施設就業時間等に準ずる,,,
032069,0000000229,岩手県,北上市,北上翔南高等学校,キタカミショウナンコウトウガッコウ,北上市相去町高前檀13番地,,39.259911,141.090363,１階保健室前廊下,0197-71-2122,,施設就業時間等に準ずる,,,
032069,0000000230,岩手県,北上市,北上ハイテクペーパー株式会社,キタカミハイテクペーパーカブシキガイシャ,北上市相去町笹長根35番地,,39.230743,141.092972,"１階三菱製紙北上事業本部事務所
１号製品倉庫１階DOWA通運内
１階新北菱林産事務所内　
２階製造原質課動力係内
２階感材製造部感材製造課内",0197-67-3212,,施設就業時間等に準ずる,,,
032069,0000000231,岩手県,北上市,(株)ケー・アイ・ケー,カブシキガイシャケー・アイ・ケー,北上市相去町山根梨の木43番地74,,39.245266,141.088608,１階食堂,67-0111,,施設就業時間等に準ずる,,,
032069,0000000232,岩手県,北上市,(株)佐藤組,カブシキガイシャサトウグミ,北上市相去町旧舘沢20番地１,,39.260933,141.097305,１階事務室,67-5555,,施設就業時間等に準ずる,,,
032069,0000000233,岩手県,北上市,シチズン時計マニュファクチャリング㈱ 東北北上南工場,シチズントケイマニュファクチャリングカブシキガイシャ　トウホクキタカミミナミコウジョウ,北上市相去町平林14番地14,,39.253464,141.094376,１階検査室前廊下,0197-67-4011,,施設就業時間等に準ずる,,,
032069,0000000234,岩手県,北上市,㈱東北イノアック北上工場,カブシキガイシャトウホクイノアックキタカミコウジョウ,北上市相去町山根梨の木43番地137,,39.245266,141.088608,１階事務所前通路,0197-81-5765,,施設就業時間等に準ずる,,,
032069,0000000235,岩手県,北上市,東北自動車道北上・金ケ崎パーキングエリア（上り）,トウホクジドウシャドウキタカミ・カネガサキパーキングエリア（ノボリ）,北上市相去町中平沢７番地４,,39.241451,141.07988,１階自動販売機付近,0197-67-2571,,施設就業時間等に準ずる,,,
032069,0000000236,岩手県,北上市,東北自動車道北上・金ケ崎パーキングエリア（下り）,トウホクジドウシャドウキタカミ・カネガサキパーキングエリア（クダリ）,北上市相去町中平沢６番地２,,39.240795,141.078629,１階自動販売機付近,0197-67-2586,,施設就業時間等に準ずる,,,
032069,0000000237,岩手県,北上市,日本メジフィジックス(株)東北ラボ,ニホンメジフィジックスカブシキガイシャトウホクラボ,北上市相去町山根梨の木43番地131,,39.245266,141.088608,２階廊下,0197-71-2500,,施設就業時間等に準ずる,,,
032069,0000000238,岩手県,北上市,ネクスコメンテナンス東北北上事業所,ネクスコメンテナンストウホクキタカミジギョウショ,北上市相去町大松沢１番地１53,,39.244068,141.084106,１階事務室内,0197-77-2201,,施設就業時間等に準ずる,,,
032069,0000000239,岩手県,北上市,ビジネスフラワーホテル,ビジネスフラワーホテル,北上市相去町山田２番地26,,39.256351,141.105255,１階事務所内,0197-71-2600,,施設就業時間等に準ずる,,,
032069,0000000240,岩手県,北上市,三井食品株式会社常温北上センター,ミツイショクヒンカブシキガイシャジョウオンキタカミセンター,北上市相去町山根梨の木43番地108,,39.245266,141.088608,１階事務室内,0197-67-1717,,施設就業時間等に準ずる,,,
032069,0000000241,岩手県,北上市,南小学校,ミナミショウガッコウ,北上市相去町葛西檀12番地２,,39.2631,141.094116,２階職員室前廊下,0197-67-4315,,施設就業時間等に準ずる,,,
032069,0000000242,岩手県,北上市,南中学校,ミナミチュウガッコウ,北上市相去町滝の沢７番地２,,39.263687,141.090668,"１階職員玄関付近
１階体育館入口",0197-67-4318,,施設就業時間等に準ずる,,,
032069,0000000243,岩手県,北上市,南保育園,ミナミホイクエン,北上市相去町東裏22番地,,39.262856,141.116104,１階玄関入口,0197-67-4317,,施設就業時間等に準ずる,,,
032069,0000000244,岩手県,北上市,立正堂医院,リッショウドウイイン,北上市相去町52番地,,39.249062,141.091614,１階処置室入口,0197-67-2708,,施設就業時間等に準ずる,,,
032069,0000000245,岩手県,北上市,(有)メディケアエコネット,ユウゲンガイシャメディケアエコネット,北上市相去町西裏1番地41,,39.258392,141.110123,１階事務所,0197-62-8502,,施設就業時間等に準ずる,,,
032069,0000000246,岩手県,北上市,㈱ヒガシヤデリカ岩手工場,カブシキガイシャヒガシヤデリカイワテコウジョウ,北上市相去町大松沢1番地107,,39.244068,141.084106,２階事務所,0197-81-5075,,施設就業時間等に準ずる,,,
032069,0000000247,岩手県,北上市,㈱フレッシュ・ロジスティック北上センター,カブシキガイシャフレッシュ・ロジスティックキタカミセンター,北上市相去町大松沢1番地107,,39.244068,141.084106,２階事務所,0197-71-2120,,施設就業時間等に準ずる,,,
032069,0000000248,岩手県,北上市,わらべや日洋㈱岩手工場,ワラベヤニチヨウカブシキガイシャイワテコウジョウ,北上市相去町大松沢1番地107,,39.244068,141.084106,２階事務所,0197-67-1000,,施設就業時間等に準ずる,,,
032069,0000000249,岩手県,北上市,グリーンリサイクル㈱北上工場,グリーンリサイクルカブシキガイシャキタカミコウジョウ,北上市相去町大松沢1番地81,,39.244068,141.084106,１階事務所,0197-67-0077,,施設就業時間等に準ずる,,,
032069,0000000250,岩手県,北上市,(有)川村商店,ユウゲンガイシャカワムラショウテン,北上市相去町和田177番地1,,39.234592,141.085892,２階事務所,0197-67-5019,,施設就業時間等に準ずる,,,
032069,0000000251,岩手県,北上市,特別養護老人ホーム　敬愛園,トクベツヨウゴロウジンホーム　ケイアイエン,北上市相去町高前檀6番地14,,39.261871,141.085358,１階施設内廊下,0197-67-3111,,施設就業時間等に準ずる,,,
032069,0000000252,岩手県,北上市,北上高等職業訓練校,キタカミコウトウショクギョウクンレンコウ,北上市相去町山田２番地42,,39.256351,141.105255,１階正面玄関,0197-81-5577,,施設就業時間等に準ずる,,,
032069,0000000253,岩手県,北上市,リードコナン北上支店,リードコナンキタカミシテン,北上市相去町山田２番地19,,39.256351,141.105255,１階事務所,0197-72-7651,,施設就業時間等に準ずる,,,
032069,0000000254,岩手県,北上市,あったかいごグループホーム大堤,アッタカイゴグループホームオオツツミ,北上市大堤東二丁目１番32号,,39.264191,141.110077,１階フロアー内,0197-71-2620,,施設就業時間等に準ずる,,,
032069,0000000255,岩手県,北上市,いしかわ内科クリニック,イシカワナイカクリニック,北上市大堤南一丁目１番25号,,39.261696,141.099731,１階処置室,0197-67-2288,,施設就業時間等に準ずる,,,
032069,0000000256,岩手県,北上市,タロおおつつみ,タロオオツツミ,北上市大堤北一丁目10番８号,,39.264233,141.102951,１階診療室,0197-81-5533,,施設就業時間等に準ずる,,,
032069,0000000257,岩手県,北上市,旭ボーリング(株),アサヒボーリングカブシキガイシャ,北上市鬼柳町都鳥186番地１,,39.27462,141.09938,２階事務室,0197-67-3121,,施設就業時間等に準ずる,,,
032069,0000000258,岩手県,北上市,おいかわ歯科クリニック,オイカワシカクリニック,北上市鬼柳町卯の木156番地２,,39.271652,141.097107,１階診療室,0197-67-6161,,施設就業時間等に準ずる,,,
